Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/aweeeezy/bin/school/spring2018/172 Enterprise Software/Enterprise-Software/karaf_tutorials/apache-karaf-4.0.10/lock
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-02-15 09:18:36,827 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.0.10
2018-02-15 09:18:36,829 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.0.10
2018-02-15 09:18:36,830 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.0.10
2018-02-15 09:18:36,832 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.10
2018-02-15 09:18:36,835 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.0.10
2018-02-15 09:18:36,837 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.0.10
2018-02-15 09:18:36,839 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.0.10
2018-02-15 09:18:36,841 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.0.10
2018-02-15 09:18:36,842 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2018-02-15 09:18:36,844 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.sshd/sshd-core/0.14.0
2018-02-15 09:18:36,847 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.jledit/core/0.2.1
2018-02-15 09:18:36,849 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.ow2.asm/asm-all/5.0.4
2018-02-15 09:18:36,852 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.ops4j.pax.url/pax-url-aether/2.5.2
2018-02-15 09:18:36,852 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.5.2/jar/uber
2018-02-15 09:18:36,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 | Starting bundles:
2018-02-15 09:18:36,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.ops4j.pax.url.wrap/2.5.2
2018-02-15 09:18:36,927 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.blueprint.api/1.0.1
2018-02-15 09:18:36,927 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.util/1.1.1
2018-02-15 09:18:36,928 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.proxy.api/1.0.1
2018-02-15 09:18:36,928 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.blueprint.core/1.7.1
2018-02-15 09:18:36,944 | INFO  | pool-2-thread-1  | BlueprintExtender                | 12 - org.apache.aries.blueprint.core - 1.7.1 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2018-02-15 09:18:36,944 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.blueprint.cm/1.0.9
2018-02-15 09:18:36,945 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.objectweb.asm.all/5.0.4
2018-02-15 09:18:36,945 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.proxy.impl/1.0.5
2018-02-15 09:18:37,032 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.wrap/4.0.10
2018-02-15 09:18:37,037 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.blueprint/4.0.10
2018-02-15 09:18:37,041 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.kar/4.0.10
2018-02-15 09:18:37,043 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.features/4.0.10
2018-02-15 09:18:37,058 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   jline/2.14.1
2018-02-15 09:18:37,059 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.shell.core/4.0.10
